# a_i,R_G
0.0100,1.2480707262e-02
0.0150,1.9277613172e-02
0.0200,2.4766696929e-02
0.0250,2.7880204513e-02
0.0300,2.8114252900e-02
0.0350,2.6044713382e-02
0.0400,2.2634981298e-02
0.0450,1.9826700591e-02
0.0500,1.8419241580e-02
0.0550,1.8354794637e-02
0.0600,1.9346069858e-02
0.0650,2.0818692726e-02
0.0700,2.3100352932e-02
0.0750,2.5560680410e-02
0.0800,2.8519621404e-02
0.0850,3.1578038417e-02
0.0900,3.4990079185e-02
0.0950,3.8154746599e-02
0.1000,4.2111159043e-02
0.1050,4.6211238806e-02
0.1100,4.9882472674e-02
0.1150,5.4221883694e-02
0.1200,5.8997753869e-02
0.1250,6.3302805201e-02
0.1300,6.7913353207e-02
0.1350,7.2188477563e-02
0.1400,7.7161368920e-02
0.1450,8.2070940807e-02
0.1500,8.6950695008e-02
0.1550,9.1352679519e-02
0.1600,9.5955673921e-02
0.1650,1.0079469678e-01
0.1700,1.0535516586e-01
0.1750,1.0965284722e-01
0.1800,1.1352056155e-01
0.1850,1.1697587877e-01
0.1900,1.2088065014e-01
0.1950,1.2235542413e-01
0.2000,1.2145094681e-01
0.2050,1.1837055024e-01
0.2100,1.1359624222e-01
0.2150,1.0728027290e-01
0.2200,9.8465158079e-02
0.2250,8.8526475346e-02
0.2300,7.6467940573e-02
0.2350,6.4339996801e-02
0.2400,5.1864271223e-02
0.2450,4.1916269321e-02
0.2500,3.2908959808e-02
0.2550,2.5257355613e-02
0.2600,2.0140806224e-02
0.2650,1.7466251830e-02
0.2700,1.5856609593e-02
0.2750,1.4608432712e-02
0.2800,1.3054759716e-02
0.2850,1.1387674828e-02
0.2900,9.6753093372e-03
0.2950,8.3485115054e-03
0.3000,7.4220998093e-03
0.3050,7.0668191159e-03
0.3100,6.9052614928e-03
0.3150,6.7938011474e-03
0.3200,6.5123940798e-03
0.3250,6.0113590722e-03
0.3300,5.3877437642e-03
0.3350,4.7636107060e-03
0.3400,4.2912336049e-03
0.3450,3.9953325030e-03
0.3500,3.9288498311e-03
0.3550,3.9386497258e-03
0.3600,3.9306780389e-03
0.3650,3.7951562409e-03
0.3700,3.5579424065e-03
0.3750,3.2818861606e-03
0.3800,2.9404411834e-03
0.3850,2.6712989206e-03
0.3900,2.5046043707e-03
0.3950,2.4706437644e-03
0.4000,2.5489133822e-03
0.4050,2.5278329842e-03
0.4100,2.5331161628e-03
0.4150,2.3846058692e-03
0.4200,2.2194362281e-03
0.4250,2.0391678087e-03
0.4300,1.8318610139e-03
0.4350,1.7228548155e-03
0.4400,1.6727103427e-03
0.4450,1.6811416790e-03
0.4500,1.6942793387e-03
0.4550,1.7303454944e-03
0.4600,1.6838658864e-03
0.4650,1.6288727521e-03
0.4700,1.4671318897e-03
0.4750,1.3594084673e-03
0.4800,1.2240121724e-03
0.4850,1.1599877090e-03
0.4900,1.1685401933e-03
0.4950,1.1861241437e-03
0.5000,1.3897738952e-03
0.5050,1.4041623844e-03
0.5100,1.3495632066e-03
0.5150,1.2526978417e-03
0.5200,1.1571171634e-03
0.5250,1.0193987667e-03
0.5300,9.1495375128e-04
0.5350,8.7037512847e-04
0.5400,8.5534429599e-04
0.5450,8.8540596095e-04
0.5500,9.1251284687e-04
0.5550,9.2124871531e-04
0.5600,9.0493319630e-04
0.5650,8.4982014388e-04
0.5700,7.7633607400e-04
0.5750,6.8820657760e-04
0.5800,6.1947584789e-04
0.5850,5.6950154162e-04
0.5900,5.7669578623e-04
0.5950,5.9827852004e-04
0.6000,6.2011819116e-04
0.6050,6.1857656732e-04
0.6100,6.1562178828e-04
0.6150,5.8478931141e-04
0.6200,5.4290853032e-04
0.6250,5.0616649538e-04
0.6300,4.3281089414e-04
0.6350,3.9170092497e-04
0.6400,3.7294450154e-04
0.6450,3.9054470709e-04
0.6500,4.1032887975e-04
0.6550,4.3165467626e-04
0.6600,4.2805755396e-04
0.6650,4.2073484070e-04
0.6700,3.8257965057e-04
0.6750,3.5174717369e-04
0.6800,3.0742548818e-04
0.6850,2.7299588900e-04
0.6900,2.6747173690e-04
0.6950,2.6451695786e-04
0.7000,2.6567317575e-04
0.7050,2.9496402878e-04
0.7100,2.7749229188e-04
0.7150,2.8558581706e-04
0.7200,2.7736382323e-04
0.7250,2.5976361768e-04
0.7300,2.3406988695e-04
0.7350,2.0503597122e-04
0.7400,1.8692189106e-04
0.7450,1.8910585817e-04
0.7500,1.8486639260e-04
0.7550,2.0195272354e-04
0.7600,2.0619218911e-04
0.7650,2.0914696814e-04
0.7700,1.9989722508e-04
0.7750,1.9154676259e-04
0.7800,1.8383864337e-04
0.7850,1.6366906475e-04
0.7900,1.4491264132e-04
0.7950,1.3001027749e-04
0.8000,1.2936793422e-04
0.8050,1.5030832477e-04
0.8100,1.4838129496e-04
0.8150,1.4568345324e-04
0.8200,1.4722507708e-04
0.8250,1.4606885920e-04
0.8300,1.3103802672e-04
0.8350,1.1729188078e-04
0.8400,1.1626413155e-04
0.8450,1.0149023638e-04
0.8500,9.9691675231e-05
0.8550,9.6608427544e-05
0.8600,1.0174717369e-04
0.8650,9.7507708119e-05
0.8700,1.0367420349e-04
0.8750,1.0958376156e-04
0.8800,1.0071942446e-04
0.8850,8.8514902364e-05
0.8900,7.8365878726e-05
0.8950,8.0678314491e-05
0.9000,7.6438848921e-05
0.9050,6.6418293936e-05
0.9100,6.7702980473e-05
0.9150,6.9244604317e-05
0.9200,7.4897225077e-05
0.9250,7.7852004111e-05
0.9300,7.8622816033e-05
0.9350,6.5133607400e-05
0.9400,6.6032887975e-05
0.9450,6.0123329908e-05
0.9500,5.4599177801e-05
0.9550,4.8175745118e-05
0.9600,5.1644398767e-05
0.9650,5.2800616650e-05
0.9700,5.6012332991e-05
0.9750,5.6783144913e-05
0.9800,5.7040082220e-05
0.9850,4.9203494347e-05
0.9900,5.1515930113e-05
0.9950,4.3036998972e-05
1.0000,3.6742034943e-05
1.0050,3.6099691675e-05
1.0100,3.9568345324e-05
1.0150,3.7127440904e-05
1.0200,3.8540596095e-05
1.0250,4.0082219938e-05
1.0300,3.7898252826e-05
1.0350,4.4964028777e-05
1.0400,3.2631038027e-05
1.0450,4.0082219938e-05
1.0500,3.3144912641e-05
1.0550,3.0447070915e-05
1.0600,2.5822199383e-05
1.0650,2.6849948613e-05
1.0700,3.2631038027e-05
1.0750,2.8263103803e-05
1.0800,3.2887975334e-05
1.0850,3.3016443988e-05
